sim_id	mean_p_per_m	sd_p_per_m	total_collision	total_time	collision_freq
0	6	6	404	978723	4.13e-4
1	6	6	1329	986842	0.001347
10	7	8	1598	992329	0.00161
11	12	14	6351	998683	0.006359
12	30	34	27586	999995	0.027586
13	140	164	133627	997522	0.133959
14	503	519	490489	999997	0.49049
15	1034	1000	1057456	998784	1.058742
16	1665	1342	1573979	999461	1.574827
17	2404	1385	2459295	998908	2.461983
18	6	6	400	989138	4.04e-4
19	7	7	1729	999408	0.00173
2	12	13	6012	998276	0.006022
20	11	13	6563	999844	0.006564
21	32	35	27554	999997	0.027554
22	136	173	137352	999989	0.137353
23	552	590	558836	999929	0.558876
24	1121	1047	1102097	1000000	1.102097
25	1734	1377	1717626	999097	1.719178
26	2537	1457	2443504	999998	2.443507
27	7	7	451	970208	4.65e-4
28	8	8	1893	999958	0.001893
29	12	13	6357	999427	0.006361
3	32	38	28286	999953	0.028287
30	33	38	28328	999924	0.02833
31	142	183	143629	999991	0.14363
32	640	715	634851	999999	0.634851
33	1195	1162	1290116	998807	1.291656
34	1909	1533	1921162	999585	1.921959
35	2610	1571	2571310	999885	2.571606
36	8	7	580	996332	5.82e-4
37	7	8	1741	999905	0.001741
38	14	16	7482	999995	0.007482
39	34	36	29380	999985	0.02938
4	126	142	120381	999997	0.120381
40	150	205	153624	999932	0.153634
41	685	776	702360	999238	0.702895
42	1295	1257	1305859	999999	1.305859
43	2028	1638	2024285	999760	2.02477
44	2843	1642	3008625	999995	3.008639
45	6	5	505	990677	5.1e-4
46	7	8	1540	999406	0.001541
47	13	14	7092	999927	0.007093
48	36	42	31365	999914	0.031368
49	163	206	161314	999996	0.161315
5	443	458	465005	999999	0.465005
50	743	807	704271	999997	0.704273
51	1448	1480	1416806	998986	1.418243
52	2210	1751	2217459	999799	2.217904
53	2859	1719	2879055	999998	2.879059
54	7	7	545	968383	5.63e-4
55	8	8	1838	992926	0.001851
56	13	13	7330	999988	0.00733
57	37	43	31688	999997	0.031688
58	159	200	160414	999720	0.160459
59	673	676	666332	999091	0.666938
6	901	935	882624	999955	0.882663
60	1415	1400	1408438	999999	1.408438
61	2202	1898	2283580	999257	2.285277
62	3083	1870	3157661	999956	3.157799
63	6	6	422	989138	4.27e-4
64	8	9	1749	997588	0.001753
65	14	16	7420	999578	0.007423
66	36	40	32006	999985	0.032006
67	166	207	166180	999995	0.166181
68	775	831	781180	999999	0.78118
69	1568	1517	1601941	999570	1.602629
7	1598	1190	1718497	999266	1.719759
70	2438	1989	2365372	999999	2.365372
71	3082	1880	3032979	998392	3.037864
72	8	7	510	972083	5.25e-4
73	9	10	1875	994001	0.001886
74	13	13	6856	998718	0.006865
75	38	41	33219	999931	0.033221
76	162	197	166432	999982	0.166435
77	821	899	794487	998630	0.795577
78	1657	1563	1575811	999999	1.575811
79	2395	1928	2553937	999309	2.555702
8	2246	1269	2288778	992574	2.305899
80	3227	2003	3249725	999137	3.252529
81	7	7	452	951990	4.75e-4
82	8	8	1788	997104	0.001793
83	14	15	7179	999751	0.007181
84	41	47	35161	999999	0.035161
85	172	221	171701	999946	0.17171
86	818	890	823010	999999	0.823011
87	1601	1513	1654821	998252	1.657717
88	2434	2018	2456197	999812	2.456658
89	3335	2093	3202558	999617	3.203782
9	5	6	379	996083	3.8e-4
